category,creator,last_updated,launched,min_version,price_minecoins,rating_count,rating_value,tags,title,uid,url
Minecraft Mash-Up,Giggle Block Studios,,,,,0,0.0,"Powerful enchantment combinations,Grow your own souls,10 different souls to find,Fantasy,Fantasy Creatures,Mystic,Power,Spooky,Mystical Creatures",Soul Seekers,,https://chunk.gg/@giggle-block-studios/soul-seekers
Minecraft Mash-Up,Razzleberries,,,,,5,4.6,"Base,Cars,Helicopters,House,Mansion,Relaxing,Vehicles,Pool",Cozy Pine Mansion,,https://chunk.gg/@razzleberries/cozy-pine-mansion
Minecraft Mash-Up,Mythicus,,,,,1103,4.0,"Classic one block,Over 40 random events,1 full texture pack,32 skins (2 free),Block,Sky,Lucky,Teen,Air Structure,Texture,Skin",ONE BLOCK MASHUP,,https://chunk.gg/@mythicus/one-block-mashup
Minecraft Mash-Up,Shapescape,,,,,934,3.7,"Animated leaves and grass with the wind!,Custom fog effects!,Realistic sky and clouds!,Animated water that looks real!,Cool,Modern,Realistic,Real Time,Custom Armor,Custom Resources,High Resolution,Pop Culture",Modern Realism,,https://chunk.gg/@shapescape/modern-realism
Minecraft Mash-Up,Loose Screw,,,,,6,4.0,"Total of 10 stylish vampire teen skins,Great for roleplay and hanging out!,Fantasy,Fantasy Creatures,Teen,Vampire,Rich",Vampire Teens,,https://chunk.gg/@loose-screw/vampire-teens
Minecraft Mash-Up,Glowfischdesigns,,,,,0,0.0,"Cool,Costume,Friends,High Definition,Lava,Stylized,Teen,Fire",Soul Shifters,,https://chunk.gg/@glowfischdesigns/soul-shifters
Minecraft Mash-Up,Pathway Studios,,,,,2,5.0,"8 unique skins!,Perfect for fun with friends!,Animals,Teen,Cute",Froggy Teens,,https://chunk.gg/@pathway-studios/froggy-teens
Minecraft Mash-Up,Owls Cubed,,,,,5,4.8,"Colors,Cute,Emotional,Fun,Teen,Cool",Lime,,https://chunk.gg/@owls-cubed/lime
Minecraft Mash-Up,Loose Screw,,,,,7,4.4,"Total of 10 skins,Great for roleplay!,Anime,Demon,High School,Horror,Sweater,Teen",Emo Demons,,https://chunk.gg/@loose-screw/emo-demons
Roleplay Skins by Dodo Studios | CHUNK - Minecraft Bedrock Marketplace Explorer,Dodo Studios,,,,,3,5.0,"Perfect for roleplaying with friends,10 Roleplay Skins,Cop,Costume,Fire,Skin,Teen",Roleplay Skins,,https://chunk.gg/@dodo-studios/roleplay-skins
Minecraft Mash-Up,Team Visionary,,,,,14,5.0,"1 Free Skin,Neon-themed skins,12 skins,Colorful,Epic,Fancy,Modern,Stylized,Teen,Trend",Neon Monsters,,https://chunk.gg/@team-visionary/neon-monsters
Minecraft Mash-Up,Spawnpoint Media,,,,,21,4.6,"Adventures,Creatures,Haunted,Horror,Mystery,Mythical,Scary,Spooky",Scary Myths with EYstreem,,https://chunk.gg/@spawnpoint-media/scary-myths-with-eystreem
Minecraft Mash-Up,DeliSoft Studios,,,,,,5.0,"DSS Designed arms and legs,Brave and epic themes,12 skins ready to shine in any adventure,Battle,Fun,Kingdom,Mythical,Old School,Skin,Teen,Castles",Heroic,,https://chunk.gg/@delisoft-studios/heroic
Minecraft Mash-Up,A Foxy Toast,,,,,3,4.3,"Stunning, Sparkly Designs,Cute & Charming Outfits,Perfect for Magic Lovers and Dreamers,Colorful,Colors,Cute,Epic,Fairies,Fantasy,Luxury,Fancy",Fairy School,,https://chunk.gg/@a-foxy-toast/fairy-school
Minecraft Mash-Up,Cubed Creations,,,,,5,4.8,"Dark Voids skins!,Amazing for roleplay!,Cool,Dark,Ender,Horror,Monster,Skin",Dark Voids,,https://chunk.gg/@cubed-creations/dark-voids
Minecraft Mash-Up,JFCrafters,,,,,83,4.9,"12 skins,1 free skin,Adventures,Cool,Dark,Mysterious,Stylized,Teen,Mystery",Shadow Demons,,https://chunk.gg/@jfcrafters/shadow-demons
Minecraft Mash-Up,Lunar Client,,,,,39,4.6,"Bake, blend, boil, and sear your way through 100+ dishes,Build Banquet Halls to serve meals and earn XP and emeralds,Enhance your foods with over 20 new crops and 3 new creatures,Fill your world with Pizzerias, Smoothie Stands, and Sushi Restaurants!,Agriculture,Animals,Cook,Craftable Furniture,Food,Crafting",Cooking,,https://chunk.gg/@lunar-client/cooking
Minecraft Mash-Up,Minecraft,,,,,521253,4.7,"Limited,Skin,Festival",1st Birthday Skin Pack,,https://chunk.gg/@minecraft/1st-birthday-skin-pack
Minecraft Mash-Up,Hourglass Studios,,,,,1463,4.8,"Perfect for slaying your enemies or dragons!,PVP ready knight skins!,35 cool netherite skins!,Perfect for exploring the Nether!,Warrior,Armor,Kingdom,Dark,Cool,Skin,Nether,Dragons",Netherite Dragon Warriors,,https://chunk.gg/@hourglass-studios/netherite-dragon-warriors
Minecraft Mash-Up,Radium Studio,,,,,1219,4.7,"Dark,Ghost,Haunted,Horror,Scary,Spooky,Trend,Demon",ENTITY 303,,https://chunk.gg/@radium-studio/entity-303
Minecraft Mash-Up,Cubeverse,,,,,8490,4.7,"NEW UPDATE:,17 new skin variants!,2 new exclusive skins!,Scary,High Definition,Monster",Play Time 2,,https://chunk.gg/@cubeverse/play-time-two
Dinosaur Skins by MobBlocks | CHUNK - Minecraft Bedrock Marketplace Explorer,MobBlocks,,,,,810,4.7,"Dinosaurs,Skin,Trend,Cute,Cool",Dinosaur Skins,,https://chunk.gg/@mobblocks/dinosaur-skins
Minecraft Mash-Up,Ninja Squirrel Gaming,,,,,12824,4.8,"Dark,Demon,Ender,Glowing,Trend,Creatures,Fantasy,Cyberpunk",Shadow Entities,,https://chunk.gg/@ninja-squirrel-gaming/shadow-entities
Minecraft Mash-Up,DogHouse,,,,,1310,4.8,"12 Skins,perfect for roleplay,Animals,Anime,Cute,Holiday,Teen,Trend",Cutie Bunnies,,https://chunk.gg/@doghouse/cutie-bunnies
Minecraft Mash-Up,Sapix,,,,,41103,4.8,"10 Unique Styles,Sunny, Stormy & Colorful,Rainbow,Summer,Colors,Bright,Light,Dark",Weather Friends,,https://chunk.gg/@sapix/weather-friends
Minecraft Mash-Up,Ninja Squirrel Gaming,,,,,8137,4.8,"Dark,Teen,Modern,Creatures,Demon,Cool,Mega",All Black Megapack,,https://chunk.gg/@ninja-squirrel-gaming/all-black-megapack
Minecraft Mash-Up,Aliquam Studios,,,,,1497,4.7,"HD skins,1 free skin,Boss,Funny,High Definition,Memes,Parody,Pop Culture,Pro",Sigma Pack,,https://chunk.gg/@aliquam-studios/sigma-pack
Minecraft Mash-Up,PixelOneUp,,,,,1503,4.8,"6 Skins,Ideal for role-playing!,Anime,High Definition,Skin,Animated,Power,Superhero,Infinity,Japan",Anime HD,,https://chunk.gg/@pixeloneup/anime-hd
Minecraft Mash-Up,StarkTMA,,,,,978,4.8,"12 HD skins inspired by eerie and spine-chilling designs.,Choose from ‘Michael’, ‘Jason’, ‘Slasher’, and more!,Perfect for those who love a haunting and unforgettable look.,Creatures,High Definition,Horror,Scary,Skin,Haunted",Horror Legends,,https://chunk.gg/@starktma/horror-legends
Minecraft Mash-Up,Hourglass Studios,,,,,3081,4.7,"Soulfire Creepers Pack with 12 hot skins!,Join the fire with 1 free skin!,Enjoy the nether with these creatures!,Fire,Creepers,Dark,Nether,Fantasy,Scary",Soulfire Creepers 2,,https://chunk.gg/@hourglass-studios/soulfire-creepers-two
Minecraft Mash-Up,UnderBlocks Studios,,,,,1774,4.8,"Galaxy,Space,Sparkly,Creatures,Dark,Infinity,Planets",Galaxy Entities,,https://chunk.gg/@underblocks-studios/galaxy-entities
Minecraft Mash-Up,StarkTMA,,,,,1158,4.7,"13 HD skins with legendary anime-inspired designs.,Choose from ‘Gokai’, ‘Kazuto’, ‘Raffy’, and more!,Perfect for players who love dynamic, iconic character looks.,Anime,High Definition,Skin,Beautiful",Anime Legends,,https://chunk.gg/@starktma/anime-legends
Minecraft Mash-Up,Waypoint Studios,,,,,2004,4.7,"Cool,Creatures,Dark,Horror,Monster,Scary,Science,Epic",Deep Horror Icons,,https://chunk.gg/@waypoint-studios/deep-horror-icons
Minecraft Mash-Up,Aliquam Studios,,,,,1932,4.8,"HD skins,1 free skin,High Definition,Horror,Creatures,Scary,Dark,Spooky,Mystery,Demon",Entity 303 HD,,https://chunk.gg/@aliquam-studios/entity-303-hd
Minecraft Mash-Up,Pixelusion,,,,,1245,4.8,"13 skins incl.,Play as your favorite meme!,EMO,COOL,CHRISTMAS,SUPERHERO,EVIL,ZOMBIE,RETRO,BOOTLEG,Cartoon,Demon,Dog,High Definition,Memes,Skin,Retro",Chill Guy,,https://chunk.gg/@pixelusion/chill-guy
Minecraft Mash-Up,Pixelationz Studios,,,,,2343,4.7,"Dark,Warrior,Spooky,Horror,Scary",Dark Tempest,,https://chunk.gg/@pixelationz-studios/dark-tempest
Minecraft Mash-Up,QwertyuiopThePie,,,,,2552,4.8,"60 skins,Neon, RGB, dark colors,Anime,Skin,Creepers,Cool,Fire,Dark,Light",Neon Entities,,https://chunk.gg/@qwertyuiopthepie/neon-entities
Minecraft Mash-Up,Spawnpoint Media,,,,,1713,4.7,"High School,Back to School,Friends,School,Celebrity,Teen,Middle School,Cute",EYstreem Fame Highschool,,https://chunk.gg/@spawnpoint-media/eystreem-fame-highschool
Minecraft Mash-Up,Asiago Bagels,,,,,3240,4.7,"8 Skins!,Perfect for Roleplaying!,Creatures,Custom Creatures,Dark,Horror,Scary,Halloween",NIGHTMARE,,https://chunk.gg/@asiago-bagels/nightmare-2
Minecraft Mash-Up,Logdotzip,,,,,33687,4.7,"Skibidi Toilet,Cameraman,Speakerman,TV Man,Plungerman,Robots,Human,Battle,War,Creatures,Secret,Scary",Skibidi Toilet [OFFICIAL],,https://chunk.gg/@logdotzip/skibidi-toilet-official
Minecraft Mash-Up,DogHouse,,,,,19118,4.8,"12 Skins,perfect for roleplay,Teen,Cool,Glowing,Demon,Luxury,Trend,Anime",Black x Gold,,https://chunk.gg/@doghouse/black-x-gold
Minecraft Mash-Up,Hourglass Studios,,,,,5123,4.7,"Shadows pack with 78 skins, with multiple colors to choose from!,Variants!,Demon Horns!,Get to scaring with 2 Free Skins!,Dark,Scary,Glowing,Demon,Abstract,Colorful,Horror",Shadows,,https://chunk.gg/@hourglass-studios/shadows
Minecraft Mash-Up,Blu Shutter Bug,,,,,4634,4.7,"Halloween,Ghost,Scary,Horror,Creatures,Dark,Monster",SHADOWS,,https://chunk.gg/@blu-shutter-bug/shadows
Minecraft Mash-Up,Teplight,,,,,23228,4.7,"Scary,Horror,Spooky,Haunted",ENTITY 303,,https://chunk.gg/@teplight/entity-303
Minecraft Mash-Up,Blu Shutter Bug,,,,,5473,4.8,"Anime,Magic,Fighting,Pop Culture,Trend,Teen,School,High Definition",Anime Sorcerers HD,,https://chunk.gg/@blu-shutter-bug/anime-sorcerers-hd
Minecraft Mash-Up,Asiago Bagels,,,,,10418,4.7,"10 Skins!,Perfect for Roleplaying!,Teen,Trend,Animals,Colors,Colorful",Onesies!,,https://chunk.gg/@asiago-bagels/onesies
Minecraft Mash-Up,DogHouse,,,,,11568,4.7,"12 Skins,perfect for roleplay,Dark,Teen,Trend,Cool,Glowing,Anime,Demon",Shadow X Void,,https://chunk.gg/@doghouse/shadow-x-void
Minecraft Mash-Up,CubeCraft Games,,,,,8920,4.7,"10 Sleepy Friends,FREE Skin: danny,High Definition,Epic,Cute,Bright,Colors,Fun,Winter",Sleepover Core,,https://chunk.gg/@cubecraft-games/sleepover-core
