category_label,category_source,changelog,creator,creator_slug,creator_url,description,features,gallery,image,is_free,last_updated,launched,marketplace_url,min_version,page_num,platforms,price_minecoins,price_ps_tokens,prices,published,rank_on_page,rating_count,rating_histogram,rating_positive_percent,rating_value,slug,tags,title,trailer_views,uid,url,video_url
,,,Owls Cubed,owls-cubed,https://chunk.gg/@owls-cubed,"Crimson Moon event! A hardcore night where totems appear, corrupt the land, powerful infected monsters emerge, and total chaos unfolds!","Horror,Monster,Nether,Spawn,Hardcore","https://images.chunk.gg/products/owls-cubed/crimson-moon/thumbnail-de2ada524c65a2a4-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-1-94101559823d77d3-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-2-af4bb7b5ff652680-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-3-69939563fe180726-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-4-ebc51656749bf55d-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-5-7eadd975a51d141d-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-6-14502628ec13e75c-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-7-58ad27c28a997077-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-8-89f1780e41db260b-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/screenshot-9-83b9ea78248a4d1f-640.jpg,https://images.chunk.gg/products/owls-cubed/crimson-moon/panorama-f11ccca2f81048f4-960.jpg",https://images.chunk.gg/products/owls-cubed/crimson-moon/thumbnail-de2ada524c65a2a4-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=25458db5-3832-4f09-a106-32f80703a6d1,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-09-16T17:00:00.000Z,0,,,,,/@owls-cubed/crimson-moon,"Horror,Monster,Nether,Spawn,Hardcore",Crimson Moon,336,25458db5-3832-4f09-a106-32f80703a6d1,https://chunk.gg/@owls-cubed/crimson-moon,https://www.youtube.com/embed/a3PwffQeZDY?rel=0&amp;
,,,TNTgames,tntgames,https://chunk.gg/@tntgames,"With the GOLEMS+ Add-On, you can add new and unique golems to your world. Explore all new options for defending your base, clearing out monsters, and more!","Base,Craftable Mobs,Custom Mobs,Defend,Fighting,Ore,Utilities","https://images.chunk.gg/products/tntgames/golems-plus/thumbnail-f3a4c281447e7c2c-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-1-c8844b30580c8580-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-2-a5625e03e3145063-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-3-11544b1d40924f01-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-4-fa49aabb4923d713-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-5-a00f58b8731efe5d-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-6-452940dc9deef2ee-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/screenshot-7-f7d984d8284f6458-640.jpg,https://images.chunk.gg/products/tntgames/golems-plus/panorama-b11551881814b679-960.jpg",https://images.chunk.gg/products/tntgames/golems-plus/thumbnail-f3a4c281447e7c2c-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=4d0a3752-1ec9-4f85-9ff2-b5da78ce82c1,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",310,310,"{'EUR': 1.53, 'USD': 1.62, 'GBP': 1.26, 'CAD': 2.26, 'AUD': 2.47}",2025-09-16T17:00:00.000Z,1,,,,,/@tntgames/golems-plus,"Base,Craftable Mobs,Custom Mobs,Defend,Fighting,Ore,Utilities",GOLEMS+ Add-On,,4d0a3752-1ec9-4f85-9ff2-b5da78ce82c1,https://chunk.gg/@tntgames/golems-plus,
,,,Giggle Block Studios,giggle-block-studios,https://chunk.gg/@giggle-block-studios,"Harness the mystical power of souls to enchant your tools and weapons with powerful enchantments and abilities with Giggle Block Studios' ""Soul Seekers""!","Fantasy,Fantasy Creatures,Mystic,Power,Spooky,Mystical Creatures","https://images.chunk.gg/products/giggle-block-studios/soul-seekers/thumbnail-800fa10f84924bc8-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/screenshot-1-7b2f8513474c2985-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/screenshot-2-e5c9f6c786ba79db-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/screenshot-3-7c47cc993aa2af2f-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/screenshot-4-b1051178de933218-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/screenshot-5-af0d9be0f2661972-640.jpg,https://images.chunk.gg/products/giggle-block-studios/soul-seekers/panorama-a919688ac65ab450-960.jpg",https://images.chunk.gg/products/giggle-block-studios/soul-seekers/thumbnail-800fa10f84924bc8-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=6ed44ebe-5858-4abf-9c8b-0e092dbce335,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-09-16T17:00:00.000Z,2,,,,,/@giggle-block-studios/soul-seekers,"Fantasy,Fantasy Creatures,Mystic,Power,Spooky,Mystical Creatures",Soul Seekers,,6ed44ebe-5858-4abf-9c8b-0e092dbce335,https://chunk.gg/@giggle-block-studios/soul-seekers,
,,,Doctor Benx,doctor-benx,https://chunk.gg/@doctor-benx,Are you ready for the ultimate morphing experience? Try out all 100+ morphs and discover their unique special abilities with your friends!,"Craftable Mobs,Hidden,Mobs,Zombies","https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/thumbnail-b7032a8c67424e6b-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-1-6b29a43767f0d583-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-2-2ff08b286e0f820b-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-3-c18fe22a4d6c1fe2-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-4-54405a91231497dc-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-5-9b21dd937b542694-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-6-21cd369d12923223-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-7-6d8a748e9a152d22-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/screenshot-8-ec791f51c69ac405-640.jpg,https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/panorama-55211b30dcb71512-1920.jpg",https://images.chunk.gg/products/doctor-benx/morphs-plus-plus/thumbnail-b7032a8c67424e6b-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=6f2fee96-c148-4bc0-b6f4-4daeef58ffc0,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-09-16T17:00:00.000Z,3,,,,,/@doctor-benx/morphs-plus-plus,"Craftable Mobs,Hidden,Mobs,Zombies",Morphs++,,6f2fee96-c148-4bc0-b6f4-4daeef58ffc0,https://chunk.gg/@doctor-benx/morphs-plus-plus,
,,,Logdotzip,logdotzip,https://chunk.gg/@logdotzip,"Farming in Minecraft has never been more accessible. Enhance your survival world, even while you’re AFK! Each farm still runs if unloaded, the game is paused, or when you’re offline!","Crafting,Custom Resources,Farm,Farming,Inventory Management,Real Time,Resource Management,Mining","https://images.chunk.gg/products/logdotzip/afk-farms/thumbnail-879327782d1d2ee8-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-1-3d482bf03beac053-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-2-7d663ebd88573d25-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-3-dfd9619152aeee20-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-4-95600fa4cfebba5c-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-5-27ba51cc869d4873-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-6-b0a445e1070df50d-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-7-74a6b3dfb02d111c-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-8-de8e0509f5b6ce25-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-9-b90b99767b46c4bd-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/screenshot-10-243ad94ba3d45013-640.jpg,https://images.chunk.gg/products/logdotzip/afk-farms/panorama-e2fe0b146c0f9c79-1920.jpg",https://images.chunk.gg/products/logdotzip/afk-farms/thumbnail-879327782d1d2ee8-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=dceac947-3d8f-4384-be13-3538690ef35d,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-09-16T17:00:00.000Z,4,,,,,/@logdotzip/afk-farms,"Crafting,Custom Resources,Farm,Farming,Inventory Management,Real Time,Resource Management,Mining",AFK Farms Add-On,515,dceac947-3d8f-4384-be13-3538690ef35d,https://chunk.gg/@logdotzip/afk-farms,https://www.youtube.com/embed/T_e4zUls6Tg?rel=0&amp;
,,,King Cube,king-cube,https://chunk.gg/@king-cube,Ever wondered what happens when you merge spells with swords? Find out in the “Spellswords” Add-On. a groundbreaking weapon Add-On with a magical twist!,"Craftable Weapons,Swordplay,Magic","https://images.chunk.gg/products/king-cube/spellswords/thumbnail-b85165c102a80aac-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-1-28f35f88c22c160f-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-2-74147409786c0eda-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-3-c05a4389868df77e-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-4-c4270b01670650df-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-5-e0ff0b012c699921-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-6-8609d04080e00148-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-7-aab4daf168763822-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/screenshot-8-f2bb0e06f1091a14-640.jpg,https://images.chunk.gg/products/king-cube/spellswords/panorama-cf4f410189c35ceb-1600.jpg",https://images.chunk.gg/products/king-cube/spellswords/thumbnail-b85165c102a80aac-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=fe441675-09d0-49d1-9678-4d07abacafc0,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-09-16T17:00:00.000Z,5,,,,,/@king-cube/spellswords,"Craftable Weapons,Swordplay,Magic",Spellswords Add-On,212,fe441675-09d0-49d1-9678-4d07abacafc0,https://chunk.gg/@king-cube/spellswords,https://www.youtube.com/embed/0PJfojymmf0?rel=0&amp;
,,,Team Metallurgy,team-metallurgy,https://chunk.gg/@team-metallurgy,Use five new machines to get more out of your ore! Each machine doubles the value of an ore block! You can stop at any point and smelt into bonus ingots or keep processing with each step increasing the ingots!,"Updated system to no longer use entities.,Fixed placement bug where machines stop working.,Added Ore Piles with crafting/un-crafting.,Fixed furnace overflow issue.,Added inventory categories and tags,Crushers can now crush stones and concrete.,Ore,Mining,Craftable Blocks,Redstone,Block,Cool,Metal","https://images.chunk.gg/products/team-metallurgy/ore-processing/thumbnail-50e0177adbac1d86-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-1-733871bb8ddf140c-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-2-b04d434d2d231ef4-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-3-87245e762d19382a-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-4-50daf9854fc54088-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-5-e2369df6f2250036-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-6-ae41c65c93f1c950-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-7-b16adda4854e7f49-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/screenshot-8-9a67afa24e4028ec-640.jpg,https://images.chunk.gg/products/team-metallurgy/ore-processing/panorama-224d0d3b87e0312a-1920.jpg",https://images.chunk.gg/products/team-metallurgy/ore-processing/thumbnail-50e0177adbac1d86-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=860e4a07-56bc-4630-849d-b428f4fc5dda,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2024-08-27T17:00:00.000Z,6,191,,,4.6,/@team-metallurgy/ore-processing,"Ore,Mining,Craftable Blocks,Redstone,Block,Cool,Metal",Ore Processing Add-On,,860e4a07-56bc-4630-849d-b428f4fc5dda,https://chunk.gg/@team-metallurgy/ore-processing,
,,,JWolf Creations,jwolf-creations,https://chunk.gg/@jwolf-creations,"Harness the power of an Echo Crystal to phase through solid blocks above you! Whether you’re escaping a cave or scaling a towering structure, this item offers a swift, clever shortcut.","Craftable Tools,Custom Tools","https://images.chunk.gg/products/jwolf-creations/echo-crystal/thumbnail-d671539146db751c-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-1-95cac3ce91dd19f9-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-2-4e2e970d6d20c776-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-3-3b83c9ff4b06e351-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-4-f57ece12955301a8-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-5-fb8c539252f7a8c6-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/screenshot-6-ccefeb2ff68cb310-640.jpg,https://images.chunk.gg/products/jwolf-creations/echo-crystal/panorama-62c3839ef2492b1b-960.jpg",https://images.chunk.gg/products/jwolf-creations/echo-crystal/thumbnail-d671539146db751c-800.jpg,True,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=c76bf516-044e-44ce-8989-ab06c2eab053,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",0,0,"{'EUR': 0, 'USD': 0, 'GBP': 0, 'CAD': 0, 'AUD': 0}",2025-04-15T17:00:00.000Z,7,21192,,,4.4,/@jwolf-creations/echo-crystal,"Craftable Tools,Custom Tools",Echo Crystal Add-On,,c76bf516-044e-44ce-8989-ab06c2eab053,https://chunk.gg/@jwolf-creations/echo-crystal,
,,,Teplight,teplight,https://chunk.gg/@teplight,Structure generation in an Add-On! You will LOVE it! Encounter:,"Adventures,Build,Building,Dungeons,Loot,Castles","https://images.chunk.gg/products/teplight/structures/thumbnail-667769fa819819a7-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-1-5798a4e9d32456c6-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-2-e5dfccaff368d316-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-3-d5b60180319f7b0a-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-4-402c3c5196760f17-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-5-95845e6df064ce7b-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-6-411f3ca939e90927-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-7-5c73e7a7da50313f-640.jpg,https://images.chunk.gg/products/teplight/structures/screenshot-8-74631b19e1872f0a-640.jpg,https://images.chunk.gg/products/teplight/structures/panorama-d682ac9429d4a6d1-960.jpg",https://images.chunk.gg/products/teplight/structures/thumbnail-667769fa819819a7-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=5a022922-e38b-404a-8198-acf3c285491d,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-08-05T17:00:00.000Z,8,296,,,4.3,/@teplight/structures,"Adventures,Build,Building,Dungeons,Loot,Castles",Structures Add-On,,5a022922-e38b-404a-8198-acf3c285491d,https://chunk.gg/@teplight/structures,
,,,In Mine,in-mine,https://chunk.gg/@in-mine,Have you ever imagined that you could literally carry your base in your pocket and travel through spacetime?,"Fixed the base style change cooldown issue.,Added the base style change cooldown display.,Minor control panel UI improvements,Medieval,Modern,Adventures,Defend,Science Fiction,Cyberpunk,Secret Base","https://images.chunk.gg/products/in-mine/portal-chests/thumbnail-d9171459c0e059e9-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-1-9827583ef458a3a1-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-2-d737f114d8ea8c62-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-3-ed0ed5a4cda50250-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-4-3013c1f13fa81341-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-5-ed1e7935e022b572-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-6-dcb9624cf709ff32-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-7-a845b1fb18e9e826-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-8-634dcc7ca837a214-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/screenshot-9-77172054e4e85d2c-640.jpg,https://images.chunk.gg/products/in-mine/portal-chests/panorama-6d36a3f2cbc6de20-1920.jpg",https://images.chunk.gg/products/in-mine/portal-chests/thumbnail-d9171459c0e059e9-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=9623d12c-4cec-4909-99b1-c70fe9420b97,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-07-29T17:00:00.000Z,9,66,,,4.7,/@in-mine/portal-chests,"Medieval,Modern,Adventures,Defend,Science Fiction,Cyberpunk,Secret Base",Portal Chests,9212,9623d12c-4cec-4909-99b1-c70fe9420b97,https://chunk.gg/@in-mine/portal-chests,https://www.youtube.com/embed/BjbpDaUqvoM?rel=0&amp;
